url,title,description,category,imageUrl,imgLow,imgMid,imgHigh
"https://www.flipkart.com/watches/pr?sid=r18&offer=nb:mp:0100572217,nb:mp:017ef78416,nb:mp:01c7b3dc16&hpid=JAF_KEX8cTXgqnmlhHZ-Rap7_Hsxr70nj65vMAAFKlc=&affid=srkrtp121",20-60% Off + Extra 5%,Deals Just For You,dotd,https://rukminim1.flixcart.com/image/800/800/ku79vgw0/watch/a/7/k/jr1401-fossil-men-original-imag7cvawuhhpghb.jpeg?q=90,https://rukminim1.flixcart.com/image/200/200/ku79vgw0/watch/a/7/k/jr1401-fossil-men-original-imag7cvawuhhpghb.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/ku79vgw0/watch/a/7/k/jr1401-fossil-men-original-imag7cvawuhhpghb.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/ku79vgw0/watch/a/7/k/jr1401-fossil-men-original-imag7cvawuhhpghb.jpeg?q=90
"https://www.flipkart.com/food-products/pr?sid=eat&param=2974&offer=nb:mp:0178960d16,nb:mp:0180d21c16&hpid=e5NMcLte4TPZFzl2iozjpqp7_Hsxr70nj65vMAAFKlc=&affid=srkrtp121",Extra 5% Off,Dry Fruits & More,dotd,https://rukminim1.flixcart.com/image/800/800/jmjhifk0/nut-dry-fruit/k/d/z/500-california-500g-pouch-pouch-wonderland-original-imaf9ce7hgyg9kwc.jpeg?q=90,https://rukminim1.flixcart.com/image/200/200/jmjhifk0/nut-dry-fruit/k/d/z/500-california-500g-pouch-pouch-wonderland-original-imaf9ce7hgyg9kwc.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/jmjhifk0/nut-dry-fruit/k/d/z/500-california-500g-pouch-pouch-wonderland-original-imaf9ce7hgyg9kwc.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/jmjhifk0/nut-dry-fruit/k/d/z/500-california-500g-pouch-pouch-wonderland-original-imaf9ce7hgyg9kwc.jpeg?q=90
"https://www.flipkart.com/home-furnishing/bed-linen-blankets/bedsheets/pr?sid=jra%2Cknw%2Cqcw&offer=nb:mp:0182de0f15,nb:mp:01dc3ae815,nb:mp:01e86dd115&hpid=_UnUKOs-aOrlgbqdtJtM3qp7_Hsxr70nj65vMAAFKlc=&affid=srkrtp121",Upto 80% OFF + 10%OFF,"Raymond, Trident & more",dotd,https://rukminim1.flixcart.com/image/800/800/k9x3v680/bedsheet/g/u/n/designer-blcb07-flat-iws-original-imafrhpthc9gqcgq.jpeg?q=90,https://rukminim1.flixcart.com/image/200/200/k9x3v680/bedsheet/g/u/n/designer-blcb07-flat-iws-original-imafrhpthc9gqcgq.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/k9x3v680/bedsheet/g/u/n/designer-blcb07-flat-iws-original-imafrhpthc9gqcgq.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/k9x3v680/bedsheet/g/u/n/designer-blcb07-flat-iws-original-imafrhpthc9gqcgq.jpeg?q=90
https://www.flipkart.com/computers/pr?sid=6bo&offer=nb:mp:0110b66317&hpid=qG48SiVTdqkM9Qtr6cTW4ap7_Hsxr70nj65vMAAFKlc=&affid=srkrtp121,From ₹99,"Mouse Pad, Keyboards, USB & more",dotd,https://rukminim1.flixcart.com/image/800/800/kll7bm80/mousepad/7/f/k/pad-gelexy-mousepad-the-printpack-original-imagyzrsrtubffvy.jpeg?q=90,https://rukminim1.flixcart.com/image/200/200/kll7bm80/mousepad/7/f/k/pad-gelexy-mousepad-the-printpack-original-imagyzrsrtubffvy.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/kll7bm80/mousepad/7/f/k/pad-gelexy-mousepad-the-printpack-original-imagyzrsrtubffvy.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/kll7bm80/mousepad/7/f/k/pad-gelexy-mousepad-the-printpack-original-imagyzrsrtubffvy.jpeg?q=90
"https://www.flipkart.com/furniture/pr?sid=wwe&marketplace=FLIPKART&p%5B%5D=facets.price_range.from%3DMin&p%5B%5D=facets.price_range.to%3D1299&offer=nb:mp:0150efe416,nb:mp:018b71d016,nb:mp:01b3d72e16&hpid=oId8FDT6mLZfCmNlNldWC6p7_Hsxr70nj65vMAAFKlc=&affid=srkrtp121",From ₹199,Deal Of The Day,dotd,https://rukminim1.flixcart.com/image/800/800/kxnl6kw0/side-table/9/z/9/11-6-11-6-mdf-0-8-standing-floor-4-tier-rack-wall-shelf-for-original-imaga2b7ydt7cwdz.jpeg?q=90,https://rukminim1.flixcart.com/image/200/200/kxnl6kw0/side-table/9/z/9/11-6-11-6-mdf-0-8-standing-floor-4-tier-rack-wall-shelf-for-original-imaga2b7ydt7cwdz.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/kxnl6kw0/side-table/9/z/9/11-6-11-6-mdf-0-8-standing-floor-4-tier-rack-wall-shelf-for-original-imaga2b7ydt7cwdz.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/kxnl6kw0/side-table/9/z/9/11-6-11-6-mdf-0-8-standing-floor-4-tier-rack-wall-shelf-for-original-imaga2b7ydt7cwdz.jpeg?q=90
"https://www.flipkart.com/clothing-and-accessories/~cs-53f29i8n1q/pr?sid=clo&collection-tab-name=Kurtas%2C+Sets%2C+Festive+wear&p%5B%5D=facets.price_range.from%3D249&p%5B%5D=facets.price_range.to%3D799&offer=nb:mp:0141a07716,nb:mp:01dc3e3316&hpid=A0v89umHiIQfsTeyFJF5bap7_Hsxr70nj65vMAAFKlc=&affid=srkrtp121",From ₹249+Extra10%Off,"Libas, Gerua, & more...",dotd,https://rukminim1.flixcart.com/image/800/800/kdvzwcw0-0/kurta/w/2/2/l-ya7514-aks-original-imafuzypvbhhmzys.jpeg?q=90,https://rukminim1.flixcart.com/image/200/200/kdvzwcw0-0/kurta/w/2/2/l-ya7514-aks-original-imafuzypvbhhmzys.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/kdvzwcw0-0/kurta/w/2/2/l-ya7514-aks-original-imafuzypvbhhmzys.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/kdvzwcw0-0/kurta/w/2/2/l-ya7514-aks-original-imafuzypvbhhmzys.jpeg?q=90
https://www.flipkart.com/clothing-and-accessories/~cs-x385108gkg/pr?sid=clo&collection-tab-name=Shirts%2C+Trousers..&p%5B%5D=facets.discount_range_v1%255B%255D%3D50%2525%2Bor%2Bmore&offer=nb:mp:011f463d18&hpid=KD1fVam_6s_CkQ2VZUDrmKp7_Hsxr70nj65vMAAFKlc=&affid=srkrtp121,Min.50% +Extra 10%Off,"Shirts, Trousers..",dotd,https://rukminim1.flixcart.com/image/800/800/jw5a2kw0/shirt/e/u/w/44-8682309-wrogn-original-imafgwgq4wyjpgsu.jpeg?q=90,https://rukminim1.flixcart.com/image/200/200/jw5a2kw0/shirt/e/u/w/44-8682309-wrogn-original-imafgwgq4wyjpgsu.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/jw5a2kw0/shirt/e/u/w/44-8682309-wrogn-original-imafgwgq4wyjpgsu.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/jw5a2kw0/shirt/e/u/w/44-8682309-wrogn-original-imafgwgq4wyjpgsu.jpeg?q=90
"https://www.flipkart.com/clothing-and-accessories/~cs-xy4u999k18/pr?sid=clo&collection-tab-name=Bottoms%2C+Ethnic%2C+Track+Suits&p%5B%5D=facets.discount_range_v1%255B%255D%3D50%2525%2Bor%2Bmore&p%5B%5D=facets.ideal_for%255B%255D%3DMen&offer=nb:mp:01853c1418,nb:mp:01e4e08618&hpid=lzWSsululGwznoAHERQNoKp7_Hsxr70nj65vMAAFKlc=&affid=srkrtp121",Min 50%+Extra 10% Off,"Trackpants, Tracksuits, Kurtas..",dotd,https://rukminim1.flixcart.com/image/800/800/kxqg2a80/track-pant/u/0/s/m-solid-men-rama-track-pants-foxter-original-imaga4hhhnfskakh.jpeg?q=90,https://rukminim1.flixcart.com/image/200/200/kxqg2a80/track-pant/u/0/s/m-solid-men-rama-track-pants-foxter-original-imaga4hhhnfskakh.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/kxqg2a80/track-pant/u/0/s/m-solid-men-rama-track-pants-foxter-original-imaga4hhhnfskakh.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/kxqg2a80/track-pant/u/0/s/m-solid-men-rama-track-pants-foxter-original-imaga4hhhnfskakh.jpeg?q=90
"https://www.flipkart.com/automotive-accessories/pr?sid=1mt&marketplace=FLIPKART&offer=nb:mp:013683ef17,nb:mp:01621f2617&affid=srkrtp121",From ₹99+Extra10%Off,"Steelbird, CEAT...",dotd,https://rukminim1.flixcart.com/flap/800/800/image/c522024438fa3c08.jpg?q=90,https://rukminim1.flixcart.com/flap/200/200/image/c522024438fa3c08.jpg?q=90,https://rukminim1.flixcart.com/flap/400/400/image/c522024438fa3c08.jpg?q=90,https://rukminim1.flixcart.com/flap/800/800/image/c522024438fa3c08.jpg?q=90
"https://www.flipkart.com/all/~cs-p1cz7sji5h/pr?sid=all&collection-tab-name=Pressure+Cooker+and+Cookware+Sets&offer=nb:mp:0138d17614,nb:mp:01f96f8d10&affid=srkrtp121",From ₹549,"Pigeon, Prestige & more",dotd,https://rukminim1.flixcart.com/flap/800/800/image/c5e00a7c49e1dc72.jpg?q=90,https://rukminim1.flixcart.com/flap/200/200/image/c5e00a7c49e1dc72.jpg?q=90,https://rukminim1.flixcart.com/flap/400/400/image/c5e00a7c49e1dc72.jpg?q=90,https://rukminim1.flixcart.com/flap/800/800/image/c5e00a7c49e1dc72.jpg?q=90
